gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3112364417	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/119937352/original.jpeg	https://www.inaturalist.org/photos/119937352					2020-11-22T21:33:39Z	melgoet		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	melgoet
3112311186	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/124848068/original.jpg	https://www.inaturalist.org/photos/124848068					2021-05-01T19:14:43Z	yellowpoint		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	yellowpoint
3112311186	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/124848003/original.jpg	https://www.inaturalist.org/photos/124848003					2021-05-01T19:14:43Z	yellowpoint		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	yellowpoint
3112311186	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/124847940/original.jpg	https://www.inaturalist.org/photos/124847940					2021-05-01T19:14:43Z	yellowpoint		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	yellowpoint
3112298632	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/124103894/original.jpg	https://www.inaturalist.org/photos/124103894					2021-04-30T14:42:22Z	wheelhomie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	wheelhomie
3109244359	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123547480/original.jpeg	https://www.inaturalist.org/photos/123547480					2021-04-28T01:01:07Z	emrenpen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	emrenpen
3109244359	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123547492/original.jpeg	https://www.inaturalist.org/photos/123547492					2021-04-28T01:00:44Z	emrenpen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	emrenpen
3109196956	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123055321/original.jpg	https://www.inaturalist.org/photos/123055321					2021-04-24T15:32:33Z	Carol McDougall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carol McDougall
3109186295	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123434643/original.jpg	https://www.inaturalist.org/photos/123434643					2021-04-27T15:45:38Z	Darren and Claudia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Darren and Claudia
3109186295	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123434661/original.jpg	https://www.inaturalist.org/photos/123434661					2021-04-27T15:45:38Z	Darren and Claudia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Darren and Claudia
